object_1,object_2,title_a,title_b,context_1,context_2,period_a,period_b,visual_similarity,semantic_similarity,multimodal_similarity,case_type,reason_for_review,source_url_a,source_url_b
24316,36033,Sacrificial Sword (Rāmdāo),One hundred water buffalo,Himalayan,Other,,Southern Song (1127–1279) or Yuan (1271–1368) dynasty,0.3742826581001282,0.4514497220516205,0.4128662049770355,multimodal_cross_context_link,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/36033
24316,36069,Sacrificial Sword (Rāmdāo),Mahasthamaprapta Bodhisattva,Himalayan,Other,,Qing dynasty (1644–1911),0.3161604404449463,0.4717132151126861,0.3939368426799774,multimodal_cross_context_link,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/36069
24316,36131,Sacrificial Sword (Rāmdāo),Landscapes with poems,Himalayan,Other,,Qing dynasty (1644–1911),0.3891399502754211,0.4220058917999267,0.4055729210376739,multimodal_cross_context_link,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/36131
24316,36437,Sacrificial Sword (Rāmdāo),Lotus and waterbirds,Himalayan,Other,,Yuan dynasty (1271–1368),0.366067886352539,0.4025660157203674,0.3843169510364532,multimodal_cross_context_link,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/36437
24316,37804,Sacrificial Sword (Rāmdāo),"Mandala of Manjuvajra, Tantric Form of the Bodhisattva Manjushri",Himalayan,Other,,,0.4383661150932312,0.6062765121459961,0.5223212838172913,multimodal_cross_context_link,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/37804
24316,37807,Sacrificial Sword (Rāmdāo),"Yamantaka, Destroyer of the God of Death",Himalayan,Other,,,0.3479286730289459,0.6208105087280273,0.484369546175003,visual_semantic_mismatch,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/37807
24316,37857,Sacrificial Sword (Rāmdāo),Bhairavi Ragini: Folio from a ragamala series (Garland of Musical Modes),Himalayan,Other,,,0.2518324553966522,0.5449569225311279,0.3983947038650512,visual_semantic_mismatch,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/37857
24316,37878,Sacrificial Sword (Rāmdāo),Preparatory Study for a Portrait of Man Singh and His Harem,Himalayan,Other,,,0.363371729850769,0.5860755443572998,0.474723756313324,visual_semantic_mismatch,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/37878
24316,37900,Sacrificial Sword (Rāmdāo),Page from a Dispersed Bhagavata Purana Manuscript,Himalayan,Other,,,0.3595385253429413,0.5739446878433228,0.4667416512966156,visual_semantic_mismatch,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/37900
24316,37904,Sacrificial Sword (Rāmdāo),Krishna Steals the Gopis’ Clothing: Page from a Dispersed Bhagavata Purana Manuscript,Himalayan,Other,,,0.3759669959545135,0.5178495645523071,0.4469082951545715,multimodal_cross_context_link,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/37904
24316,38006,Sacrificial Sword (Rāmdāo),Portrait of the Indian Monk Atisha,Himalayan,Other,,,0.3575980067253113,0.6290278434753418,0.4933129549026489,visual_semantic_mismatch,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/38006
24316,38057,Sacrificial Sword (Rāmdāo),Sketch with Kali and a Young Boy,Himalayan,Other,,,0.3696407079696655,0.6167480945587158,0.4931944012641907,visual_semantic_mismatch,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/38057
24316,38122,Sacrificial Sword (Rāmdāo),"Seated Buddha Reaching Enlightenment, Flanked by Avalokiteshvara and Maitreya",Himalayan,Other,,Pala period,0.3990342020988464,0.5422362089157104,0.470635175704956,multimodal_cross_context_link,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/38122
24316,38159,Sacrificial Sword (Rāmdāo),Standing Ganesha,Himalayan,Other,,pre-Angkor period,0.4272122979164123,0.4766062498092651,0.4519093036651611,multimodal_cross_context_link,Cross-context computational similarity; requires qualitative historical interpretation,https://www.metmuseum.org/art/collection/search/24316,https://www.metmuseum.org/art/collection/search/38159
