object_id,title,culture,cultural_context,period,country
24316,Sacrificial Sword (Rāmdāo),"Indian, Bengal (?) or Nepalese",Himalayan,,Nepal
24317,Sacrificial Sword (Kartrī or Churī),"Indian, Bengal (?) or Nepalese",Himalayan,,Nepal
24318,Sacrificial Knife,"Indian, Bengal (?) or Nepalese",Himalayan,,Nepal
36033,One hundred water buffalo,China,Other,Southern Song (1127–1279) or Yuan (1271–1368) dynasty,
36069,Mahasthamaprapta Bodhisattva,China,Other,Qing dynasty (1644–1911),
36131,Landscapes with poems,China,Other,Qing dynasty (1644–1911),
36437,Lotus and waterbirds,China,Other,Yuan dynasty (1271–1368),
37804,"Mandala of Manjuvajra, Tantric Form of the Bodhisattva Manjushri",Tibet,Other,,
37807,"Yamantaka, Destroyer of the God of Death",Tibet,Other,,
37857,Bhairavi Ragini: Folio from a ragamala series (Garland of Musical Modes),"India (Himachal Pradesh, Mandi)",Other,,
37878,Preparatory Study for a Portrait of Man Singh and His Harem,"India (Rajasthan, Jodhpur)",Other,,
37900,Page from a Dispersed Bhagavata Purana Manuscript,"India (Rajasthan, Mewar)",Other,,
37904,Krishna Steals the Gopis’ Clothing: Page from a Dispersed Bhagavata Purana Manuscript,"India (Rajasthan, Mewar)",Other,,
38006,Portrait of the Indian Monk Atisha,Tibet,Other,,
38057,Sketch with Kali and a Young Boy,"India (Punjab Hills, Kangra?)",Other,,
38122,"Seated Buddha Reaching Enlightenment, Flanked by Avalokiteshvara and Maitreya","India, Bihar, Nalanda monastery",Other,Pala period,
38159,Standing Ganesha,Cambodia,Other,pre-Angkor period,
38317,Plaque with Scenes from the Life of the Buddha,India (Bihar or West Bengal),Other,Pala period,
38440,Standing Ganesha,"Nepal, Kathmandu Valley",Other,,
38452,The Death of the Buddha (Parinirvana),Pakistan (ancient region of Gandhara),Other,Kushan period,
38634,Crowned  Bodhisattva,"North India (Uttar Pradesh, Mathura)",Other,late Kushan dynasty,
38777,Head of Buddha,Pakistan (ancient region of Gandhara),Other,,
38945,Hanuman Conversing,India (Tamil Nadu),Other,Chola period,
38950,Bodhisattva Avalokiteshvara,"Plai Bat II Temple, Lahan Sai District, Buriram Province, Thailand",Other,,
38970,"Seated Ascetic, Deified King, Agni (The God of Fire)","India (Kaushambi, Uttar Pradesh)",Other,,
39046,Seated Male Deity Supporting a Vajra on His Finger,"Indonesia (Java, Ngandjuk)",Other,Eastern Javanese period,
39047,Seated Male Deity Holding a Cuirass (Chest Armour),"Indonesia (Java, Ngandjuk)",Other,Eastern Javanese period,
39048,Seated Male Deity Holding Two Ritual Objects,"Indonesia (Java, Ndangjuk)",Other,Eastern Javanese period,
39054,Seated Female Deity Holding a Conch and Branch (?),"Indonesia (Java, Ngandjuk)",Other,Eastern Javanese period,
39092,Bodhisattva  Avaolkiteshvara,Western Cambodia,Other,pre-Angkor period,
39134,"Jain Siddha Bahubali, Entwined with Forest Vines",India (Karnataka),Other,Chalukyan period,
39482,Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),Japan,Other,Nanbokuchō period (1336–92),
39569,Eighteen Songs of a Nomad Flute: The Story of Lady Wenji,China,East_Asia,Ming dynasty (1368–1644),
39742,"The Deity Vajrabhairava, Tantric Form of the Bodhisattva Manjushri",China,Other,Ming dynasty (1368–1644),
39895,The Classic of Filial Piety,China,Other,Northern Song dynasty (960–1127),
39901,Night-Shining White,China,Other,Tang dynasty (618–907),
39931,Landscapes,China,Other,Qing dynasty (1644–1911),
39959,A Diplomatic Mission to the Jin,China,Other,Jin dynasty (1115–1234),
40080,Fragrant Snow at Broken Bridge,China,Other,Yuan dynasty (1271–1368),
40282,Buddha Amitabha Descending from his Pure Land,China,Other,Southern Song dynasty (1127–1279),
40513,Vimalakirti and the Doctrine of Nonduality,China,Other,Yuan dynasty (1271–1368),
41865,Ink Tablet,China,Other,"Qing dynasty (1644–1911), Qianlong period (1736–95)",
42188,Seated luohan (arhat) in a grotto,China,Other,Qing dynasty (1644–1911),
42733,Buddha Maitreya (Mile),China,Other,Northern Wei dynasty (386–534),
44759,"Landscapes, Figures, and Flowers",China,Other,Ming dynasty (1368–1644),
45258,Bamboo in the Four Seasons,Japan,Other,Muromachi period (1392–1573),
45449,Buddha offering protection,"India, unknown provenance in the Deccan, likely Andhra Pradesh",Other,Visnukundin,
49068,Bamboo in Snow,Japan,Other,Edo period (1615–1868),
53013,"""Kogō"" and ""The Imperial Procession to Ōhara"", from The Tale of the Heike (Heike monogatari)",Japan,Other,Edo period (1615–1868),
53158,Tile with Buddha Triad,Japan,Other,Asuka period (538–710),
53162,Tobatsu Bishamonten,Japan,Other,Heian period (794–1185),
53165,Male and Female Shinto Deities,Japan,Other,Heian period (ca. 900–1185),
53167,Flying Apsaras (Hiten),Japan,Other,Heian period (794–1185),
53176,"Fudō Myōō, the Immovable Wisdom King (Achala Vidyaraja)",Japan,Other,Kamakura period (1185–1333),
53180,"Satsubari, the Second of the Sixteen Arhats",Japan,Other,Nanbokuchō period (1336–92),
53187,Kasuga Deer Mandala (Kasuga shika mandara zu),Japan,Other,Nanbokuchō period (1336–92),
53189,Seiryū Gongen,Japan,Other,Nanbokuchō period (1336–92),
53190,Guardian Lion-Dogs,Japan,Other,Kamakura period (1185–1333),
53194,The Tale of Sumiyoshi,Japan,Other,Kamakura period (1185–1333),
53205,Mandala of the Bodhisattva Hannya (Prajnaparamita),Japan,Other,Nanbokuchō period (1336–92),
53226,Two Views from the Eight Views of the Xiao and Xiang Rivers,Japan,Other,Muromachi period (1392–1573),
53237,Pheasants among Trees: Flowers of the Four Seasons,Japan,Other,Muromachi (1392–1573),
53238,Zheng Huangniu and Yushanzhu,Japan,Other,Momoyama period (1573–1615),
53241,Willows and Bridge,Japan,Other,Momoyama period (1573–1615),
53242,"“Butterflies” (Kochō), from the Tale of Genji",Japan,Other,Momoyama period (1573–1615),
53408,White Plum Blossoms and Moon,Japan,Other,Edo period (1615–1868),
53427,Six Jewel Rivers,Japan,Other,Edo period (1615–1868),
53428,Scenes in and around the Capital,Japan,Other,Edo period (1615–1868),
53429,Cherry Blossom Viewing at Itsukushima and Yoshino,Japan,Other,Edo period (1615–1868),
53438,Page of a Pilgrim’s Visiting Album,Japan,Other,Edo period (1615–1868),
53455,Pine Tree and Calligraphy,Japan,Other,Edo period (1615–1868),
53625,Dogū (Clay Figurine),Japan,Other,Final Jōmon period (ca. 1000–300 BCE),
53650,Incense Burner in Form of a Praying Mantis,Japan,Other,Meiji period (1868–1912),
53660,Ten Verses on Oxherding,Japan,Other,Kamakura period (1185–1333),
53892,Albums of scenes from The Tale of Genji,Japan,Other,Edo period (1615–1868),
57249,Hanshan and Shide,Japan,Other,,
57363,Page of a Pilgrim’s Visiting Album,Japan,Other,Edo period (1615–1868),
57573,Statuette of Buddha Sitting on Engraved Throne,Korea,Other,Late Unified Silla dynasty (676–935),
60435,Section of the Dream Diary (Yume no ki),Japan,Other,Kamakura period (1185–1333),
60437,Section of the Dream Diary with a Sketch of Mountains,Japan,Other,Kamakura period (1185–1333),
60451,Letter to the Nun Jōjūbō,Japan,Other,Kamakura period (1185–1333),
60470,On Reclusion,Japan,Other,Nanbokuchō period (1336–92),
61532,Stele with Maitreya and attendant bodhisattvas,China,Other,Northern Wei dynasty (386–534),
61658,Bodhisattva Avalokiteshvara (Guanyin),China,Other,Yuan dynasty (1271–1368),
61820,"Seated Buddha, probably Shakyamuni (Shijiamouni)",China,Other,Sixteen Kingdoms period (304–439),
68308,Seven-Panel Buddhist Monk’s Vestment (Shichijō kesa) with Crane Patterns on Hexagonal Diaper Pattern (Mokkō) Background,Japan,Other,Edo period (1615–1868),
68310,Seven-Panel Buddhist Monk’s Vestment (Shichijō kesa) with Peony Patterns in Undulating Columns,Japan,Other,Edo period (1615–1868),
73540,A Large Elephant Recently Imported from Overseas (Shinto hakurai no daizō),Japan,Other,Edo period (1615–1868),
76084,The Bodhisattva Jizō,Japan,Other,Kamakura period (1185–1333),
78145,Portrait of Bodhidharma,Japan,Other,Edo period (1615–1868),
78257,Kali,"India, Kolkata, West Bengal,",Other,,
78260,Vishva Rajalakshmi Gomata,India,Other,,
192770,Saint Bridget of Sweden Receiving the Rule of Her Order,,Other,,
193451,Good Shepherd,,Other,,
194191,Clock watch with astronomical dial and sundial,,Other,,
197460,Saint Catherine of Siena,,Other,,
197461,Saint Bernardino of Siena,,Other,,
200668,Sabine Houdon (1787–1836),,Other,,
200840,Glass cooler (seau à verre),,Other,,
201718,Street vendor,,Other,,
203915,Seated Faun,,Other,,
204587,Emperor Antoninus Pius,,Other,,
205883,Guanyin,,Other,,
206965,Longcase astronomical regulator,,Other,,
207157,Dwarf (one of a pair),,Other,,
207536,The Sacrifice of Jephthah's Daughter,,Other,,
228990,Adam and Eve with Charles I and Henrietta Maria,,Other,,
228995,"The New Testament, The Book of Common Prayer",,Other,,
236643,Rothschild lamp,,Other,,
237451,Dwarf (one of a pair),,Other,,
239512,Torah crown (keter),,Other,,
266450,Elliot Marbles and Other Sculpture from the Central Museum Madras: Group 26,,Other,,
268710,Herr Joachim,,Other,,
269434,Thomas Carlyle,,Other,,
282044,Sappho,,Other,,
307598,Eagle relief,Toltec,Other,,Mexico
307599,Eagle relief,Toltec,Other,,Mexico
307634,Cihuateotl,Mexica (Aztec),Other,,Mexico
308022,Embroidered bag with fringe,Nasca,Other,,Peru
308024,Embroidered bag with fringe,Nasca,Other,,Peru
308565,Stirrup-spout bottle with mountain sacrifice scene,Moche,Other,,Peru
309227,Tupu (pin),Inca,Other,,Peru
309389,Urpu (jar),Inca,Other,,Peru
309411,Headdress ornament,Calima (Yotoco),Other,,Colombia
309519,Stirrup-spout bottle with feline and snake,Cupisnique,Other,,Peru
309540,Figure pendant,Tairona,Other,,Colombia
309713,Yoke-form vessel,Maya,Other,,Guatemala
309943,Miniature male effigy,Inca,Other,,"Ecuador, Peru, Bolivia, Chile, or Argentina"
309944,Miniature female effigy,Inca,Other,,"Ecuador, Peru, Bolivia, Chile, or Argentina"
310364,Vessel with mythological scene,Maya,Other,,
310472,Palma with figure,Classic Veracruz,Other,,Mexico
310480,Head of a Rain God,Maya,Other,,Mexico
310498,Standing figure,Mezcala,Other,,Mexico
310513,Ornament,Maya,Other,,Guatemala
310540,Column,Maya,Other,,Mexico
310542,Whistling vessel,Maya,Other,,Guatemala or Mexico
310552,Incense burner with feline head,Tiwanaku,Other,,Bolivia
310599,Fish hacha,Classic Veracruz,Other,,Mexico
310681,Lime container,Wari,Other,,Peru
311159,Ceremonial Board (Malu),Sawos people,Other,,Papua New Guinea
312336,Gwandusu,Bamana peoples,Other,,Mali
312558,Female Figurine,Inca,Other,,"Ecuador, Peru, Bolivia, Chile, or Argentina"
312581,House model,Nayarit,Other,,West Mexico
312694,Ear Spool,Greater Coclé,Other,,Panama
312807,Guaíza,Taíno,Other,,Puerto Rico
313240,Relief with enthroned ruler,Maya,Other,,Guatemala
313251,Female figurine,Inca,Other,,"Ecuador, Peru, Bolivia, Chile, or Argentina"
313256,Mirror-bearer,Maya,Other,,Guatemala or Mexico
313262,Deity figure,Maya,Other,,"Southern Mexico, Guatemala, Honduras, or Belize"
313289,Hand with beaker,Inca,Other,,Peru
313325,Ceremonial Handle (?),Maya,Other,,Mexico or Guatemala
313398,Nose ornament in the shape of a head,Moche,Other,,Peru
313511,Frog Pendant,Greater Coclé,Other,,Panama
313658,'Otua fefine (deity figure),Ha'apai Islands,Other,,Tonga
313676,Tahiri ra'a (fly whisk),Austral Islands,Other,,French Polynesia
314217,Vessel with mythological scene,Maya,Other,,Mexico or Guatemala
314518,Tetrapod Bowl,Maya,Other,,Guatemala
314522,Tetrapod Jar,Maya,Other,,El Salvador or Guatemala
314523,Cylindrical Vessel,Maya,Other,,Guatemala
314524,Cylindrical Vessel,Maya,Other,,Guatemala
314528,Tunic with Diamond Band,Inca,Other,,Peru
315668,Tupu (pin),Inca,Other,,"Ecuador, Peru, Bolivia, Chile, or Argentina"
315735,Crucifix,Kongo peoples,Other,,Angola
316274,Plate with trumpeter,Maya,Other,,Guatemala or Mexico
316304,Tripod Plate,Maya,Other,,Mexico
316415,Ceremonial Textile (Tampan),Lampung,Other,,Indonesia
316427,Tumi (knife),Lambayeque (Sicán),Other,,Peru
316436,Earflare with ritual procession,Chimú,Other,,Peru
316437,Earflare with ritual procession,Chimú,Other,,Peru
316691,Figure pendant,Tairona,Other,,Colombia
316813,"Jar, Ritual Scenes",Maya,Other,,Guatemala
316846,Kero (beaker),Quechua,Other,,Peru
316847,Kero (beaker),Quechua,Other,,Peru
316963,Four-Cornered Hat,Wari,Other,,Peru
317619,Turkey Vessel,Veracruz,Other,,Mexico
317753,Female figurine,Inca,Other,,"Ecuador, Peru, Bolivia, Chile, or Argentina"
317760,Pair of carved ornaments with the Maize God,Maya,Other,,"Southern Mexico, Guatemala, Honduras, or Belize"
317802,Pestle Finial,"Highlands, Mt. Hagen region",Other,,Papua New Guinea
317803,Bird Figure,Mount Hagen region,Other,,Papua New Guinea
317804,Club Head,"Highlands, Mt. Hagen region",Other,,Papua New Guinea
317877,Processional Cross,Northern Highlands region,Other,,Ethiopia
318345,Censer with seated king,Maya,Other,,Guatemala
318622,Pendant mask of Ìyọ́bà Idià,Edo peoples,Other,,Nigeria
318662,Vessel with throne scene,Maya,Other,,Guatemala
319633,Cylindrical Vessel,Maya,Other,,Guatemala or Mexico
319873,Deity face pendant,Maya,Other,,"Southern Mexico, Guatemala, Honduras, or Belize"
